,tag,new_tag
0,ConcentrationRiskPercentage1,"('EarningsBeforeInterestAndTax', 1)"
1,ConcentrationRiskPercentage1,"('EarningsBeforeInterestAndTax', 1)"
2,CashAndCashEquivalentsAtCarryingValue,"('CostsSellingAndAdministrativeExpenses', 2)"
3,CashAndCashEquivalentsAtCarryingValue,"('CostsSellingAndAdministrativeExpenses', 2)"
4,AvailableForSaleSecuritiesCurrent,"('CurrentLiabilitiesTotal', 2)"
5,AvailableForSaleSecuritiesCurrent,"('CurrentLiabilitiesTotal', 2)"
6,AvailableForSaleSecuritiesNoncurrent,"('TotalOtherLiabilitiesNoncurrent', 2)"
7,AvailableForSaleSecuritiesNoncurrent,"('TotalOtherLiabilitiesNoncurrent', 2)"
8,CashAndCashEquivalentsAtCarryingValue,"('CostsSellingAndAdministrativeExpenses', 2)"
9,CashAndCashEquivalentsAtCarryingValue,"('CostsSellingAndAdministrativeExpenses', 2)"
10,AvailableForSaleSecuritiesAmortizedCost,"('ResearchAndDevelopmentCost', 1)"
11,AvailableForSaleSecuritiesAmortizedCost,"('ResearchAndDevelopmentCost', 1)"
12,AvailableForSaleSecurities,"('NetIncomeFromContinuingOps', 1)"
13,AvailableForSaleSecurities,"('NetIncomeFromContinuingOps', 1)"
14,AvailableForSaleSecuritiesNoncurrent,"('TotalOtherLiabilitiesNoncurrent', 2)"
15,AvailableForSaleSecuritiesNoncurrent,"('TotalOtherLiabilitiesNoncurrent', 2)"
16,AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,"('IncomeBeforeTax', 3)"
17,AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,"('IncomeBeforeTax', 3)"
18,AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,"('IncomeBeforeTax', 3)"
19,AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,"('IncomeBeforeTax', 3)"
20,AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,"('IncomeBeforeTax', 3)"
21,AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,"('IncomeBeforeTax', 3)"
22,AvailableForSaleSecurities,"('NetIncomeFromContinuingOps', 1)"
23,AvailableForSaleSecurities,"('NetIncomeFromContinuingOps', 1)"
24,AvailableForSaleSecuritiesCurrent,"('CurrentLiabilitiesTotal', 2)"
25,AvailableForSaleSecuritiesCurrent,"('CurrentLiabilitiesTotal', 2)"
26,AvailableForSaleSecuritiesAmortizedCost,"('ResearchAndDevelopmentCost', 1)"
27,AvailableForSaleSecuritiesAmortizedCost,"('ResearchAndDevelopmentCost', 1)"
28,AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,"('IncomeBeforeTax', 3)"
29,AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,"('IncomeBeforeTax', 3)"
30,DebtInstrumentInterestRateEffectivePercentage,"('OtherMinorityInterest', 2)"
31,DebtInstrumentInterestRateEffectivePercentage,"('OtherMinorityInterest', 2)"
32,DebtInstrumentInterestRateEffectivePercentage,"('OtherMinorityInterest', 2)"
33,DebtInstrumentInterestRateEffectivePercentage,"('OtherMinorityInterest', 2)"
34,SeniorNotes,"('GrossProfit', 1)"
35,SeniorNotes,"('GrossProfit', 1)"
36,DebtInstrumentInterestRateStatedPercentage,"('OtherMinorityInterest', 2)"
37,DebtInstrumentInterestRateStatedPercentage,"('OtherMinorityInterest', 2)"
38,DebtInstrumentInterestRateStatedPercentage,"('OtherMinorityInterest', 2)"
39,DebtInstrumentInterestRateStatedPercentage,"('OtherMinorityInterest', 2)"
40,SeniorNotes,"('GrossProfit', 1)"
41,SeniorNotes,"('GrossProfit', 1)"
42,CashAndCashEquivalentsAtCarryingValue,"('CostsSellingAndAdministrativeExpenses', 2)"
43,CashAndCashEquivalentsAtCarryingValue,"('CostsSellingAndAdministrativeExpenses', 2)"
44,AvailableForSaleSecuritiesCurrent,"('CurrentLiabilitiesTotal', 2)"
45,AvailableForSaleSecuritiesCurrent,"('CurrentLiabilitiesTotal', 2)"
46,AvailableForSaleSecuritiesNoncurrent,"('TotalOtherLiabilitiesNoncurrent', 2)"
47,AvailableForSaleSecuritiesNoncurrent,"('TotalOtherLiabilitiesNoncurrent', 2)"
48,CashAndCashEquivalentsAtCarryingValue,"('CostsSellingAndAdministrativeExpenses', 2)"
49,CashAndCashEquivalentsAtCarryingValue,"('CostsSellingAndAdministrativeExpenses', 2)"
50,AvailableForSaleSecuritiesAmortizedCost,"('ResearchAndDevelopmentCost', 1)"
51,AvailableForSaleSecuritiesAmortizedCost,"('ResearchAndDevelopmentCost', 1)"
52,AvailableForSaleSecurities,"('NetIncomeFromContinuingOps', 1)"
53,AvailableForSaleSecurities,"('NetIncomeFromContinuingOps', 1)"
54,AvailableForSaleSecuritiesNoncurrent,"('TotalOtherLiabilitiesNoncurrent', 2)"
55,AvailableForSaleSecuritiesNoncurrent,"('TotalOtherLiabilitiesNoncurrent', 2)"
56,AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,"('IncomeBeforeTax', 3)"
57,AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,"('IncomeBeforeTax', 3)"
58,AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,"('IncomeBeforeTax', 3)"
59,AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,"('IncomeBeforeTax', 3)"
60,AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,"('IncomeBeforeTax', 3)"
61,AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,"('IncomeBeforeTax', 3)"
62,AvailableForSaleSecuritiesAmortizedCost,"('ResearchAndDevelopmentCost', 1)"
63,AvailableForSaleSecuritiesAmortizedCost,"('ResearchAndDevelopmentCost', 1)"
64,AvailableForSaleSecuritiesCurrent,"('CurrentLiabilitiesTotal', 2)"
65,AvailableForSaleSecuritiesCurrent,"('CurrentLiabilitiesTotal', 2)"
66,AvailableForSaleSecurities,"('NetIncomeFromContinuingOps', 1)"
67,AvailableForSaleSecurities,"('NetIncomeFromContinuingOps', 1)"
68,AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,"('IncomeBeforeTax', 3)"
69,AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,"('IncomeBeforeTax', 3)"
70,ResultOfLegalProceedings,"('EffectOfAccountingChanges', 1)"
71,GainContingencyUnrecordedAmount,"('SellingAndAdministrativeExpense', 1)"
72,ResultOfLegalProceedings,"('EffectOfAccountingChanges', 1)"
73,GainContingencyUnrecordedAmount,"('SellingAndAdministrativeExpense', 1)"
