old_tag,new_tag,score
tag,new_tag,
ConcentrationRiskPercentage1,EarningsBeforeInterestAndTax',1
ConcentrationRiskPercentage1,EarningsBeforeInterestAndTax',1
CashAndCashEquivalentsAtCarryingValue,CostsSellingAndAdministrativeExpenses',2
CashAndCashEquivalentsAtCarryingValue,CostsSellingAndAdministrativeExpenses',2
AvailableForSaleSecuritiesCurrent,CurrentLiabilitiesTotal',2
AvailableForSaleSecuritiesCurrent,CurrentLiabilitiesTotal',2
AvailableForSaleSecuritiesNoncurrent,TotalOtherLiabilitiesNoncurrent',2
AvailableForSaleSecuritiesNoncurrent,TotalOtherLiabilitiesNoncurrent',2
CashAndCashEquivalentsAtCarryingValue,CostsSellingAndAdministrativeExpenses',2
CashAndCashEquivalentsAtCarryingValue,CostsSellingAndAdministrativeExpenses',2
AvailableForSaleSecuritiesAmortizedCost,ResearchAndDevelopmentCost',1
AvailableForSaleSecuritiesAmortizedCost,ResearchAndDevelopmentCost',1
AvailableForSaleSecurities,NetIncomeFromContinuingOps',1
AvailableForSaleSecurities,NetIncomeFromContinuingOps',1
AvailableForSaleSecuritiesNoncurrent,TotalOtherLiabilitiesNoncurrent',2
AvailableForSaleSecuritiesNoncurrent,TotalOtherLiabilitiesNoncurrent',2
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,IncomeBeforeTax',3
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,IncomeBeforeTax',3
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,IncomeBeforeTax',3
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,IncomeBeforeTax',3
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,IncomeBeforeTax',3
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,IncomeBeforeTax',3
AvailableForSaleSecurities,NetIncomeFromContinuingOps',1
AvailableForSaleSecurities,NetIncomeFromContinuingOps',1
AvailableForSaleSecuritiesCurrent,CurrentLiabilitiesTotal',2
AvailableForSaleSecuritiesCurrent,CurrentLiabilitiesTotal',2
AvailableForSaleSecuritiesAmortizedCost,ResearchAndDevelopmentCost',1
AvailableForSaleSecuritiesAmortizedCost,ResearchAndDevelopmentCost',1
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,IncomeBeforeTax',3
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,IncomeBeforeTax',3
DebtInstrumentInterestRateEffectivePercentage,OtherMinorityInterest',2
DebtInstrumentInterestRateEffectivePercentage,OtherMinorityInterest',2
DebtInstrumentInterestRateEffectivePercentage,OtherMinorityInterest',2
DebtInstrumentInterestRateEffectivePercentage,OtherMinorityInterest',2
SeniorNotes,GrossProfit',1
SeniorNotes,GrossProfit',1
DebtInstrumentInterestRateStatedPercentage,OtherMinorityInterest',2
DebtInstrumentInterestRateStatedPercentage,OtherMinorityInterest',2
DebtInstrumentInterestRateStatedPercentage,OtherMinorityInterest',2
DebtInstrumentInterestRateStatedPercentage,OtherMinorityInterest',2
SeniorNotes,GrossProfit',1
SeniorNotes,GrossProfit',1
CashAndCashEquivalentsAtCarryingValue,CostsSellingAndAdministrativeExpenses',2
CashAndCashEquivalentsAtCarryingValue,CostsSellingAndAdministrativeExpenses',2
AvailableForSaleSecuritiesCurrent,CurrentLiabilitiesTotal',2
AvailableForSaleSecuritiesCurrent,CurrentLiabilitiesTotal',2
AvailableForSaleSecuritiesNoncurrent,TotalOtherLiabilitiesNoncurrent',2
AvailableForSaleSecuritiesNoncurrent,TotalOtherLiabilitiesNoncurrent',2
CashAndCashEquivalentsAtCarryingValue,CostsSellingAndAdministrativeExpenses',2
CashAndCashEquivalentsAtCarryingValue,CostsSellingAndAdministrativeExpenses',2
AvailableForSaleSecuritiesAmortizedCost,ResearchAndDevelopmentCost',1
AvailableForSaleSecuritiesAmortizedCost,ResearchAndDevelopmentCost',1
AvailableForSaleSecurities,NetIncomeFromContinuingOps',1
AvailableForSaleSecurities,NetIncomeFromContinuingOps',1
AvailableForSaleSecuritiesNoncurrent,TotalOtherLiabilitiesNoncurrent',2
AvailableForSaleSecuritiesNoncurrent,TotalOtherLiabilitiesNoncurrent',2
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,IncomeBeforeTax',3
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,IncomeBeforeTax',3
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,IncomeBeforeTax',3
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,IncomeBeforeTax',3
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,IncomeBeforeTax',3
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,IncomeBeforeTax',3
AvailableForSaleSecuritiesAmortizedCost,ResearchAndDevelopmentCost',1
